2,B,1,B,3,-1
2,B,2,B,4,-1
4,A,3,A,6,1
4,A,3,C,6,1
5,B,1,B,3,-1
5,C,1,C,3,-7
5,B,4,D,2,1
5,D,1,D,3,-1
6,B,2,E,2,-5
6,B,6,E,2,-5
6,B,2,E,6,-5
6,B,6,E,6,-5
12,C,1,C,3,-1
12,C,3,C,5,1
16,B,1,B,3,1
23,A,3,A,5,-1
23,A,4,A,6,-1
23,B,1,B,3,1
23,B,3,B,5,-1
25,A,5,B,1,4
25,A,5,B,5,4
27,A,4,C,1,6
27,A,8,C,1,6
27,A,4,C,5,6
27,A,8,C,5,6
28,B,1,B,3,-1
28,B,3,B,5,1
28,C,1,C,3,-1
29,A,3,D,2,6
29,B,3,D,2,6
29,D,6,E,7,-2
29,E,6,E,7,-2
29,D,6,F,7,-2
29,E,6,F,7,-2
30,B,1,B,3,-1
30,B,3,B,5,1
31,A,1,B,2,4
31,A,3,B,2,4
31,A,5,B,2,4
33,A,2,B,1,3
33,A,6,B,1,3
33,A,2,B,3,3
33,A,6,B,3,3
34,B,1,B,3,1
34,B,3,B1,1,-1
34,B,1,B1,3,1
34,B1,1,B1,3,1
39,A,3,B,2,2
39,B,2,B,3,-2
39,A,3,B,6,2
39,B,3,B,6,2
41,B,1,B,3,-1
41,B,2,B,4,-1
41,B,3,B,5,1
41,B,3,B1,1,1
41,B,4,B1,2,1
41,B,1,B1,3,-1
41,B,5,B1,3,-1
41,B1,1,B1,3,-1
41,B,2,B1,4,-1
41,B1,2,B1,4,-1
47,A,1,B,1,7
47,A,3,B,1,7
47,A,5,B,1,7
47,A,1,B,3,7
47,A,3,B,3,7
47,A,5,B,3,7
48,A,3,A,5,3
48,A,3,B,1,3
48,A,5,B,3,-3
48,B,1,B,3,-3
48,A,3,B,5,3
48,B,3,B,5,3
49,A,4,A,8,-1
49,A,4,B,8,-1
50,B,2,B,4,-3
50,B,4,B,6,3
50,A,7,B,7,1
50,B,2,B,8,-3
50,B,6,B,8,-3
50,B,4,B1,2,3
50,B,8,B1,2,3
50,B,2,B1,4,-3
50,B,6,B1,4,-3
50,B1,2,B1,4,-3
50,B,4,B1,6,3
50,B,8,B1,6,3
50,B1,4,B1,6,3
53,B,3,B,5,1
53,B,5,B1,3,-1
60,A,4,B,4,7
61,B,1,B,2,1
61,B,2,B,5,-1
61,B,1,B,6,1
61,B,5,B,6,1
66,A,1,A,2,-1
66,A,2,A,5,1
66,A,1,A,6,-1
66,A,5,A,6,-1
72,A,5,B1,5,7
73,A,7,B,1,3
73,A,7,B,3,3
73,A,7,B,5,3
73,B,1,B,7,-3
73,B,3,B,7,-3
73,B,5,B,7,-3
74,A,1,A,2,-1
74,A,2,A,5,1
74,A,1,A,6,-1
74,A,5,A,6,-1
77,B,1,B,3,-1
77,A,6,B,4,-1
77,B,2,B,4,-1
77,B,3,B,5,1
77,B,4,B,6,1
77,B,3,B1,1,1
77,B,4,B1,2,1
77,B,1,B1,3,-1
77,B,5,B1,3,-1
77,B1,1,B1,3,-1
77,A,6,B1,4,-1
77,B,2,B1,4,-1
77,B,6,B1,4,-1
77,B1,2,B1,4,-1
82,B,5,B,6,-2
84,A,1,B,5,7
84,A,5,B,5,7
87,A,1,A,3,-1
87,A,3,A,5,1
87,A,2,B,2,3
95,A,1,D,5,7
95,A,5,D,5,7
95,B,1,D,5,7
95,B,5,D,5,7
97,B,1,B,3,-1
97,B,2,B,3,-1
97,B,1,B,4,-1
97,B,2,B,4,-1
97,B,3,B,5,1
97,B,4,B,5,1
102,A,1,A,3,-1
102,A,2,A,4,-1
102,A,4,B,2,1
102,A,2,B,4,-1
102,B,2,B,4,-1
106,A,3,B,3,6
106,B,4,B,5,1
106,B,5,B,6,-1
112,A,1,B,2,4
112,A,5,B,2,4
112,A,4,B,4,7
112,A,1,B,6,4
112,A,5,B,6,4
116,A,7,B,3,-4
116,A,7,B,7,-4
116,A,7,B1,3,-4
116,A,7,B1,7,-4
119,A,1,A,3,-1
119,A,3,A,5,1
119,B,2,B,4,-1
119,B,3,B,5,1
119,B,4,B1,2,1
119,B,5,B1,3,-1
119,B,2,B1,4,-1
119,B1,2,B1,4,-1
120,A,1,A,3,-1
120,A,3,A,5,1
123,A,1,B,6,7
123,A,5,B,6,7
126,C,1,C,3,-1
126,C,3,C,5,1
126,C,4,F,6,1
128,B,1,B,3,1
128,B,3,B1,1,-1
128,B,1,B1,3,1
128,B1,1,B1,3,1
129,A,1,B,1,7
129,A,5,B,1,7
129,A,1,B,3,6
129,A,5,B,3,6
129,B,1,B,3,-1
130,A,1,A,2,1
130,A,1,A,6,1
130,B,5,B,7,-5
134,A,4,B,3,6
140,A,1,A,2,-1
140,A,2,A,5,1
140,A,1,A,6,-1
140,A,5,A,6,-1
140,B1,5,B1,7,-5
140,B,4,B1,8,-7
140,B1,4,B1,8,-7
142,A,1,A,3,-1
142,A,3,A,5,1
142,A,3,B1,5,1
143,B,4,B,6,-3
150,B,1,B,2,-1
150,B,2,B,5,1
150,B,1,B,6,-1
150,B,5,B,6,-1
150,B,2,B1,1,1
150,B,6,B1,1,1
150,B,1,B1,2,-1
150,B,5,B1,2,-1
150,B1,1,B1,2,-1
154,B,1,B,3,-1
155,A,8,B,4,8
155,A,8,B1,4,8
168,A,1,A,2,-3
168,A,2,A,5,3
168,A,1,A,6,-3
168,A,5,A,6,-3
173,A,5,A,6,-2
179,B,1,B,2,-2
180,B,4,B,8,1
181,A,1,B,1,7
181,A,5,B,1,7
181,A,1,B,5,7
181,A,5,B,5,7
181,A,1,B1,1,7
181,A,5,B1,1,7
183,A,1,A,3,-1
183,A,3,A,5,1
185,A,3,B,5,4
186,B,1,B,3,-1
186,B,2,B,3,-1
186,B,3,B,5,1
186,B,3,B,6,1
186,B,3,B1,1,1
186,B,3,B1,2,1
186,B,1,B1,3,-1
186,B,2,B1,3,-1
186,B,5,B1,3,-1
186,B,6,B1,3,-1
186,B1,1,B1,3,-1
186,B1,2,B1,3,-1
186,B,3,B1,5,1
186,B1,3,B1,5,1
190,A,1,B,1,7
190,A,5,B,1,7
190,A,1,B,3,6
190,A,5,B,3,6
190,B,1,B,3,-1
190,A,1,B,5,7
190,A,5,B,5,7
190,B,3,B,5,1
190,A,1,B1,1,7
190,A,5,B1,1,7
190,B,3,B1,1,1
190,A,1,B1,3,6
190,A,5,B1,3,6
190,B,1,B1,3,-1
190,B,5,B1,3,-1
190,B1,1,B1,3,-1
198,A,3,B,3,7
198,A,3,B,5,7
203,B,1,B,2,1
210,A,3,A,4,-1
210,A,4,A1,3,1
210,A,3,A1,4,-1
210,A1,3,A1,4,-1
211,A,2,B,1,1
211,A,6,B,1,1
211,A,2,B,5,1
211,A,6,B,5,1
211,B,1,B,7,-1
211,B,5,B,7,-1
211,A,2,B1,1,1
211,A,6,B1,1,1
211,B,7,B1,1,1
214,B,1,B,3,1
214,B,2,B,4,1
214,A,1,E,1,7
214,A,2,E,2,7
214,B,8,E,2,7
214,A,4,E,4,7
214,A,1,E,5,7
214,E,4,F,4,-7
220,B,2,B,6,1
224,A,4,B,1,3
224,D,1,D,3,1
224,C,2,G,2,-2
224,C,6,G,2,-2
224,C,8,G,4,1
224,D,8,G,4,1
224,C,2,G,6,-2
224,C,6,G,6,-2
226,A,7,B,3,1
226,B,3,B,7,-1
226,C,2,C,4,-1
226,C,4,C,6,1
226,B,3,C,7,-1
228,A,1,A,3,-1
233,A,3,B,3,1
234,A,5,B,5,5
234,A,3,D,5,5
239,B,4,B,8,-4
243,A,1,B,2,5
243,A,5,B,2,5
244,A,8,B,3,-3
244,B,1,B,4,-4
244,B,4,B,8,4
244,A,8,C,2,-3
244,B,1,C,3,-4
244,B,8,C,3,-4
245,A,8,C,4,7
245,B,4,C,4,7
245,B,8,C,4,7
245,C,4,C,8,-7
248,A,1,B,1,7
251,B,4,B,8,-1
254,B,1,B,3,-1
254,B,2,B,3,-1
254,B,1,B,4,-1
254,B,2,B,4,-1
254,B,5,B,6,2
255,A,3,A,5,1
255,B,1,B,3,-1
255,B,2,B,4,-1
255,B,3,B,5,1
255,B,4,B,6,1
255,B,3,B1,1,1
255,B,4,B1,2,1
255,B,1,B1,3,-1
255,B,5,B1,3,-1
255,B1,1,B1,3,-1
255,B,2,B1,4,-1
255,B,6,B1,4,-1
255,B1,2,B1,4,-1
255,B1,5,B1,6,2
257,B,1,B,2,-1
257,B,2,B,5,1
257,F,5,F,6,-2
257,F,5,F,7,-4
257,F,6,F,7,-2
257,F,5,H,2,1
257,F,6,H,2,3
257,F,7,H,2,5
257,B,4,H,4,-4
257,D,4,H,4,-4
257,E,4,H,4,-4
257,F,4,H,4,-4
257,B,4,I,4,-4
257,D,4,I,4,-4
257,E,4,I,4,-4
257,F,4,I,4,-4
257,D,1,J,2,-7
257,D,5,J,2,-7
257,E,1,J,2,-7
257,K,1,K,2,1
257,K,2,K,3,-1
257,K,2,K,5,-1
258,A,7,C,1,8
258,A,7,C,3,8
258,A,4,C,4,7
258,A,7,C,5,8
258,A,7,C,7,7
258,C,1,C,7,-1
258,C,3,C,7,-1
258,C,5,C,7,-1
258,A,8,C,8,7
258,C,6,D,2,-1
258,D,1,D,2,-1
258,D,2,D,3,1
258,A,4,D,4,7
258,D,2,D,5,1
259,B,1,B,3,-4
274,C,5,C,7,-6
275,A,4,B,4,7
287,B,1,B,3,1
287,B,2,B,4,1
287,B,3,B,5,-1
287,D,1,D,3,1
287,D,3,D,5,-1
290,A,1,B,5,7
290,A,5,B,5,7
290,C,1,C,3,-1
290,C,2,C,4,-1
290,C,3,C,5,1
293,B,1,B,3,-1
293,B,3,B,5,1
294,A,4,A,6,1
295,B,2,B,4,-3
299,A,2,A,4,-2
299,A,2,B,4,-2
299,B,8,D,2,3
299,D,4,D,8,-1
304,A,3,B,3,7
304,A,4,B,4,7
304,A,3,B1,3,7
304,A,4,B1,4,7
306,B,1,B,2,-1
306,B,2,B,5,1
306,B,1,B,6,-1
306,B,5,B,6,-1
306,B,2,B1,1,1
306,B,6,B1,1,1
306,B,1,B1,2,-1
306,B,5,B1,2,-1
306,B1,1,B1,2,-1
306,B,2,B1,5,1
306,B,6,B1,5,1
306,B1,2,B1,5,1
306,B,1,B1,6,-1
306,B,5,B1,6,-1
306,B1,1,B1,6,-1
306,B1,5,B1,6,-1
306,C,1,C,2,2
306,C,2,C,5,-2
306,C,2,C1,1,-2
306,C,1,C1,2,2
306,C,5,C1,2,2
306,C1,1,C1,2,2
306,C,2,C1,5,-2
306,C1,2,C1,5,-2
313,B,1,B,2,1
313,B,2,B,3,-1
313,B,2,B,5,-1
313,B,1,B,6,1
313,B,3,B,6,1
313,B,5,B,6,1
313,B,2,C,1,-1
313,B,6,C,1,-1
313,B,1,C,2,1
313,B,3,C,2,1
313,B,5,C,2,1
313,C,1,C,2,1
313,B,2,C,3,-1
313,B,6,C,3,-1
313,C,2,C,3,-1
313,C,5,C,6,1
317,A,2,A,4,1
317,A,4,A,6,-1
317,A,2,B,4,4
317,A,4,B,4,3
317,A,6,B,4,4
318,B,2,B,4,-3
318,B,4,B,6,3
318,B,2,B,8,-3
318,B,6,B,8,-3
318,B,4,B1,2,3
318,B,8,B1,2,3
318,B,2,B1,4,-3
318,B,6,B1,4,-3
318,B1,2,B1,4,-3
318,B,4,B1,6,3
318,B,8,B1,6,3
318,B1,4,B1,6,3
327,C,6,C,7,-2
327,C,7,C1,6,2
327,C,6,C1,7,-2
327,C1,6,C1,7,-2
330,B,1,C1,5,2
333,A,4,B,4,5
333,A1,4,B,4,5
333,A,4,B1,4,5
333,A1,4,B1,4,5
335,B,1,B,3,-1
335,B,2,B,4,-1
335,A,4,B,6,7
336,A,1,A,2,-1
336,A,2,A,5,1
338,B,4,B,7,2
338,B,4,D,7,2
342,C,5,C,6,-2
345,B,1,B,3,-1
351,A,2,A,4,-1
351,A,4,A,6,1
352,A,6,D,1,-1
352,B,6,D,1,-1
355,A,7,B,5,9
357,A,1,A,3,1
358,B,1,B,3,1
364,A,1,B,5,2
364,A,5,B,5,2
371,A,3,A,7,1
371,A,3,B1,7,1
372,A,7,B,3,1
372,A,8,B,3,1
372,A,7,B,4,1
372,A,8,B,4,1
372,B,3,B,7,-1
372,B,4,B,7,-1
372,B,3,B,8,-1
372,B,4,B,8,-1
372,C,1,C,2,-1
372,B,5,C,5,3
372,B,3,C,7,-1
372,B,4,C,7,-1
372,B,3,C,8,-1
372,B,4,C,8,-1
377,B,2,B,6,-1
377,B,6,B1,2,1
379,A,2,C,1,7
379,A,6,C,1,7
380,A,3,A,7,-1
380,A,4,A,7,-1
380,A,3,A,8,-1
380,A,4,A,8,-1
380,A,2,B,1,3
380,A,6,B,1,3
380,A,7,B,3,1
380,A,8,B,3,1
380,A,7,B,4,1
380,A,8,B,4,1
380,A,2,B,5,3
380,A,6,B,5,3
380,A,3,B,7,-1
380,A,4,B,7,-1
380,B,3,B,7,-1
380,B,4,B,7,-1
380,A,3,B,8,-1
380,A,4,B,8,-1
380,B,3,B,8,-1
380,B,4,B,8,-1
381,B,3,B,5,4
383,A,6,A,8,1
383,A,2,B,8,1
383,A,6,C,4,1
383,A,6,C,8,1
385,B,1,B,2,1
385,B,2,B,3,-1
385,B,2,B,5,-1
385,B,1,B,6,1
385,B,3,B,6,1
385,B,5,B,6,1
386,A,4,B,2,8
386,B,1,B,3,-1
386,A,4,B,4,7
386,B,2,B,4,-1
386,C,5,C,6,2
390,A,2,A,3,-1
390,A,3,A,6,1
390,A,2,B,1,3
390,A,3,B,1,4
390,A,6,B,1,3
390,B,5,B,7,-6
393,A,1,A,4,-3
393,A,4,A,5,3
396,A,8,B,4,2
396,B,4,B,8,-2
396,A,8,B1,4,2
396,B,8,B1,4,2
396,B,4,B1,8,-2
396,B1,4,B1,8,-2
403,A,3,B,3,4
403,A,2,B,5,7
403,A,6,B,5,7
403,B,3,B,7,-4
404,A,3,B,1,4
406,B,1,B,3,-1
406,B,2,B,4,-1
406,A,5,B,5,4
406,A,7,B,7,7
422,A,1,C,1,7
422,A,5,C,1,7
422,A,2,C,2,7
422,A,6,C,2,7
422,A,3,C,3,7
422,A,7,C,3,7
422,A,4,C,4,7
422,A,8,C,4,7
422,A,1,C,5,7
422,A,5,C,5,7
422,A,2,C,6,7
422,A,6,C,6,7
422,A,3,C,7,7
422,A,7,C,7,7
422,A,4,C,8,7
422,A,8,C,8,7
430,A,1,A,2,1
430,A,2,A,5,-1
430,A,1,A,6,1
430,A,5,A,6,1
434,A,4,C,4,7
434,A,8,C,4,7
434,B,4,C,4,7
434,B,8,C,4,7
434,A,4,C,8,7
434,A,8,C,8,7
434,B,4,C,8,7
434,B,8,C,8,7
434,A,4,D,4,7
434,A,8,D,4,7
434,B,4,D,4,7
434,B,8,D,4,7
434,A,4,D,8,7
434,A,8,D,8,7
434,B,4,D,8,7
434,B,8,D,8,7
434,C,4,E,4,-7
434,C,8,E,4,-7
434,D,4,E,4,-7
434,D,8,E,4,-7
434,C,4,E,8,-7
434,C,8,E,8,-7
434,D,4,E,8,-7
434,D,8,E,8,-7
434,C,4,F,4,-7
434,C,8,F,4,-7
434,D,4,F,4,-7
434,D,8,F,4,-7
434,C,4,F,8,-7
434,C,8,F,8,-7
434,D,4,F,8,-7
434,D,8,F,8,-7
438,A,1,A,2,-1
438,A,2,A,5,1
438,A,1,A,6,-1
438,A,5,A,6,-1
438,A,1,B,1,7
438,A,2,B,1,8
438,A,5,B,1,7
438,A,6,B,1,8
438,A,1,B,3,7
438,A,2,B,3,8
438,A,5,B,3,7
438,A,6,B,3,8
438,A,1,B,5,7
438,A,2,B,5,8
438,A,5,B,5,7
438,A,6,B,5,8
439,B,5,B,6,-1
443,A,1,A,2,-1
443,A,2,A,3,1
443,A,2,A,5,1
443,A,1,A,6,-1
443,A,3,A,6,-1
443,A,5,A,6,-1
443,A,2,A,7,1
443,A,6,A,7,1
444,A,2,C,2,7
444,A,6,C,2,7
444,A,4,C,4,7
444,A,8,C,4,7
444,B,4,C,4,7
444,B,8,C,4,7
444,A,2,C,6,7
444,A,6,C,6,7
444,A,4,C,8,7
444,A,8,C,8,7
444,B,4,C,8,7
444,B,8,C,8,7
444,B,2,D,2,7
444,B,6,D,2,7
444,B,1,D,3,7
444,B,3,D,3,7
444,B,5,D,3,7
444,B,7,D,3,7
444,A,4,D,4,7
444,A,8,D,4,7
444,B,4,D,4,7
444,B,8,D,4,7
444,B,2,D,6,7
444,B,6,D,6,7
444,B,1,D,7,7
444,B,3,D,7,7
444,B,5,D,7,7
444,B,7,D,7,7
444,A,4,D,8,7
444,A,8,D,8,7
444,B,4,D,8,7
444,B,8,D,8,7
444,A,4,E,4,7
444,A,8,E,4,7
444,B,4,E,4,7
444,B,8,E,4,7
444,A,4,E,8,7
444,A,8,E,8,7
444,B,4,E,8,7
444,B,8,E,8,7
444,A,4,F,4,7
444,A,8,F,4,7
444,B,4,F,4,7
444,B,8,F,4,7
444,A,4,F,8,7
444,A,8,F,8,7
444,B,4,F,8,7
444,B,8,F,8,7
444,A,4,G,4,7
444,A,8,G,4,7
444,B,4,G,4,7
444,B,8,G,4,7
444,A,4,G,8,7
444,A,8,G,8,7
444,B,4,G,8,7
444,B,8,G,8,7
444,C,4,I,4,-7
444,C,8,I,4,-7
444,D,4,I,4,-7
444,D,8,I,4,-7
444,E,4,I,4,-7
444,E,8,I,4,-7
444,F,4,I,4,-7
444,F,8,I,4,-7
444,G,4,I,4,-7
444,G,8,I,4,-7
444,C,4,I,8,-7
444,C,8,I,8,-7
444,D,4,I,8,-7
444,D,8,I,8,-7
444,E,4,I,8,-7
444,E,8,I,8,-7
444,F,4,I,8,-7
444,F,8,I,8,-7
444,G,4,I,8,-7
444,G,8,I,8,-7
445,A,4,A,7,3
445,A,2,B,2,4
445,A,6,B,2,4
445,A,7,B,4,-3
445,A,2,B,6,4
445,A,6,B,6,4
445,A,4,B,7,3
